1.011043,0.9776838,0.09776838,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,1.011043,,,,
2.020834,1.988007,0.1988007,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,2.020834,,,,
3.031714,2.998568,0.2998568,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,3.031714,,,,
4.041967,4.009203,0.4009203,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,4.041967,,,,
5.052534,5.019701,0.5019702,,5.052534,0.03302159,0.003302159,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,5.052534,,,,
6.063102,6.030416,0.6030415,,6.063102,1.043733,0.1043734,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,6.063102,,,,
7.07367,7.041125,0.7041125,,7.07367,2.054444,0.2054444,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,7.07367,,,,
8.084262,8.05204,0.805204,,8.084262,3.065356,0.3065356,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,8.084262,,,,
9.094809,9.062428,0.9062428,,9.094809,4.075749,0.4075749,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,9.094809,,,,
10.10537,0,0,,10.10537,5.08623,0.508623,,10.10537,0.0832063,0.00832063,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,10.10537,,,,
